id,name,dob_m,dob_d,dob_y,height_ft,height_in,position_1,position_2,image
178,Hamud Al Shemmari,9,26,1960,,,Defender,,
179,Hussein Al Sulaimani,1,21,1977,5,8,Defender,,
180,Yasser Al Taifi,5,10,1971,,,Defender,,
181,Adnan Al Talyani,10,1,1964,,,Forward,,
182,Ahmed Al Tarabulsi,3,22,1947,,,Goalkeeper,,
183,Nawaf Al Temiyat,6,28,1976,5,9,Midfielder,,
184,Youssef Al Tunayan,11,18,1963,,,Forward,,
185,Al Hasan Al Yami,8,21,1972,5,8,Forward,,
186,Stefan Aladzhov,10,18,1947,,,Defender,,
187,Ahmed Alaoui,1,1,1949,,,Forward,,
188,Jordi Alba,3,21,1989,5,6,Defender,,
189,Ernesto Albarracin,4,24,2016,,,Midfielder,,
190,David Albelda,9,1,1977,5,11,Midfielder,,
191,Florian Albert,9,15,1941,,,Forward,,
192,Philippe Albert,8,10,1967,,,Defender,,
193,Demetrio Albertini,8,23,1971,5,10,Midfielder,,
194,Enrico Albertosi,11,2,1939,,,Goalkeeper,,
195,Raul Albiol,9,4,1985,6,1,Defender,,
196,Arthur Albiston,7,14,1957,,,Defender,,
197,Miiko Albornoz,11,30,1990,5,10,Defender,,
198,Mario Alborta,9,19,1910,,,Forward,,
199,Ernst Albrecht,11,12,1907,,,Midfielder,,
200,Milan Albrecht,7,16,1950,,,Forward,,
201,Rafael Albrecht,8,23,1941,,,Defender,Midfielder,
202,Chris Albright,1,14,1979,6,0,Defender,,
203,Gheorghe Albu,11,18,1909,,,Defender,,
204,Antolin Alcaraz,7,30,1982,6,0,Defender,,
205,Francisco Alcaraz,10,4,1960,,,Midfielder,,
206,Joseph Alcazar,6,15,1911,,,Forward,,
207,Alcindo,12,16,1945,,,Forward,,
208,Aldair,11,30,1965,,,Defender,,
209,Toby Alderweireld,3,2,1989,6,1,Defender,,
210,John Aldridge,9,18,1958,,,Forward,,
211,Sergei Aleinikov,11,7,1961,,,Midfielder,,
212,Juan Manuel Alejandrez,11,15,1943,,,Defender,,
