id,name,dob_m,dob_d,dob_y,height_ft,height_in,position_1,position_2,image
3439,Kasey Keller,11,29,1969,6,2,Goalkeeper,,
3440,Tore Keller,1,4,1905,,,Forward,,
3441,David Kelly,11,25,1965,,,Forward,,
3442,Gary Kelly,7,9,1974,5,8,Defender,,
3443,Alan Kelly Jr.,8,11,1968,6,2,Goalkeeper,,
3444,Jack Kelsey,11,19,1929,,,Goalkeeper,,
3445,Kembo Uba Kembo,12,27,1947,,,Midfielder,,
3446,Tibor Kemeny,3,5,1913,,,Forward,,
3447,Mario Kempes,7,15,1954,,,Forward,,
3448,Joshua Kennedy,8,20,1982,6,3,Forward,,
3449,Stuart Kennedy,5,31,1953,,,Defender,,
3450,Harry Keough,11,15,1927,,,Defender,,
3451,Martin Keown,7,24,1966,6,1,Defender,,
3452,Attila Kerekes,4,4,1954,,,Defender,,
3453,Zoltan Kereki,7,13,1953,,,Defender,,
3454,Tugay Kerimoglu,8,24,1970,5,8,Midfielder,,
3455,Alan Kernaghan,4,25,1967,,,Defender,,
3456,Willy Kernen,8,6,1929,,,Defender,,
3457,Alexander Kerzhakov,11,27,1982,5,8,Forward,,
3458,Vladimir Kesarev,2,26,1930,,,Defender,,
3459,Stephen Keshi,1,23,1962,,,Defender,,
3460,Erol Keskin,3,2,1927,,,Forward,,
3461,Derek Kevan,3,6,1935,,,Forward,,
3462,Harry Kewell,9,22,1978,6,0,Forward,,
3463,Mateja Kezman,4,12,1979,5,10,Forward,,
3464,Abdelrazzak Khairi,11,20,1962,,,Midfielder,,
3465,Mohammad Khakpour,2,20,1969,,,Defender,,
3466,Khaleel Ghanim,11,12,1964,,,Defender,,
3467,Khalid Ismail,7,7,1965,,,Midfielder,,
3468,Labid Khalifa,1,1,1955,,,Defender,,
3469,Khalil Mohamed,9,6,1958,,,Defender,,
3470,Nader Khani,8,23,1963,,,Midfielder,,
3471,Dmitri Kharin,8,16,1968,,,Goalkeeper,,
3472,Abdulaziz Khathran,7,31,1973,5,6,Defender,Midfielder,
3473,Rasoul Khatibi,9,22,1978,5,7,Forward,,
3474,Sami Khedira,4,4,1987,6,2,Midfielder,,
3475,Vagiz Khidiyatullin,3,3,1959,,,Defender,,
3476,Dmitri Khlestov,1,21,1971,5,9,Defender,,
3477,Vitali Khmelnitski,6,12,1943,,,Forward,,
3478,Mohammad Khojah,3,15,1982,6,2,Goalkeeper,,
3479,Dmitry Khokhlov,12,22,1975,6,2,Midfielder,,
3480,Thanduyise Khuboni,5,23,1986,5,11,Midfielder,,
3481,Bongani Khumalo,1,6,1987,6,0,Defender,,
3482,Doctor Khumalo,6,26,1967,,,Midfielder,,
3483,Itumeleng Khune,6,20,1987,5,10,Goalkeeper,,
3484,Murtaz Khurtsilava,1,5,1943,,,Defender,Midfielder,
3485,Galimzyan Khusainov,6,27,1937,,,Forward,,
3486,Sung Yueng Ki,1,24,1989,6,1,Midfielder,,
3487,Wim Kieft,11,12,1962,,,Forward,,
3488,Leopold Kielholz,6,9,1911,,,Forward,,
3489,Dean Kiely,10,10,1970,6,0,Goalkeeper,,
3490,Stefan Kiessling,1,25,1984,6,3,Forward,,
3491,Anker Kihle,4,19,1917,,,Goalkeeper,,
3492,Magnus Kihlstedt,2,29,1972,6,2,Goalkeeper,,
3493,Kiko,4,26,1972,,,Forward,,
3494,Kevin Kilbane,2,1,1977,6,0,Forward,,
3495,Chris Killen,10,8,1981,6,2,Forward,,
3496,Daniel Killer,12,21,1949,,,Defender,,
3497,Bo Kyung Kim,10,6,1989,5,10,Midfielder,,
3498,Bong Hwan Kim,7,4,1939,,,Forward,,
3499,Byung Ji Kim,4,8,1970,6,0,Goalkeeper,,
3500,Chang-Soo Kim,2,1,2009,5,10,Defender,,
3501,Do Heon Kim,7,14,1982,5,8,Midfielder,,
3502,Do Hoon Kim,7,21,1970,5,11,Forward,,
3503,Do Keun Kim,3,2,1972,5,10,Midfielder,,
3504,Dong Jin Kim,1,29,1982,6,0,Defender,,
3505,Hyung Il Kim,4,27,1984,6,1,Defender,,
3506,Jae Sung Kim,10,3,1983,5,10,Midfielder,,
3507,Ji Sung Kim,11,7,1924,,,Midfielder,,
3508,Jin Kyu Kim,2,16,1985,6,0,Defender,,
3509,Jong Boo Kim,11,3,1965,,,Forward,,
3510,Joo Sung Kim,1,17,1966,,,Forward,Midfielder,
3511,Jung Woo Kim,5,9,1982,6,0,Midfielder,,
3512,Kum Il Kim,10,10,1987,5,6,Midfielder,,
3513,Kyong Il Kim,12,11,1988,5,8,Midfielder,,
3514,Myong Gil Kim,10,16,1984,5,11,Goalkeeper,,
3515,Myong Won Kim,7,15,1983,5,10,Goalkeeper,,
3516,Nam Il Kim,3,14,1977,5,10,Midfielder,,
3517,Pan Keun Kim,3,5,1966,,,Defender,,
3518,Poong Jo Kim,10,1,1961,,,Goalkeeper,,
3519,Pyung Seok Kim,9,22,1958,,,Defender,,
3520,Sam Soo Kim,2,8,1963,,,Midfielder,,
3521,Sang Sik Kim,12,17,1976,6,0,Defender,,
3522,Seung Il Kim,9,2,1945,,,Forward,,
3523,Seung-Gyu Kim,9,30,1990,6,1,Goalkeeper,,
3524,Shin-Wook Kim,4,14,1988,6,5,Forward,,
3525,Tae Young Kim,11,8,1970,5,10,Defender,,
3526,Yong Dae Kim,10,11,1979,6,1,Goalkeeper,,
3527,Yong Jun Kim,7,19,1983,5,11,Midfielder,,
3528,Young Chul Kim,6,30,1976,6,0,Defender,,
3529,Young Kwang Kim,6,28,1983,6,0,Goalkeeper,,
3530,Young Se Kim,4,21,1960,,,Forward,,
3531,Young-Gwon Kim,2,27,1990,6,0,Defender,,
3532,Yung Kil Kim,1,29,1944,,,Forward,,
3533,Ove Kindvall,5,16,1943,,,Forward,Midfielder,
3534,Ledley King,10,12,1980,6,2,Defender,,
3535,Richard Kingson,6,13,1978,5,11,Goalkeeper,,
3536,Vladimir Kinier,4,6,1958,,,Defender,,
3537,Mark Kinsella,8,12,1972,5,9,Midfielder,,
3538,Antonin Kinsky,5,31,1975,6,1,Goalkeeper,,
3539,Jozsef Kiprich,9,6,1963,,,Forward,,
3540,Rosen Kirilov,1,4,1973,,,Defender,,
3541,Andraz Kirm,9,6,1984,6,0,Midfielder,,
3542,Ulf Kirsten,12,4,1965,,,Forward,,
3543,Krister Kirstersson,7,25,1942,,,Defender,,
3544,Ilian Kiryakov,8,4,1967,,,Defender,,
3545,Gerd Kische,10,23,1951,,,Defender,,
3546,Nicolai Kiselyov,1,29,1946,,,Midfielder,,
3547,Radostin Kishishev,7,30,1974,,,Defender,,
3548,Imre Kiss,8,10,1957,,,Goalkeeper,,
3549,Laszlo Kiss,3,12,1956,,,Forward,,
3550,Stoyan Kitov,8,27,1938,,,Defender,Midfielder,
3551,Albin Kitzinger,2,1,1912,,,Midfielder,,
3552,Hiroshi Kiyotake,11,12,1989,5,7,Midfielder,,
3553,Peter Kjaer,11,5,1965,6,1,Goalkeeper,,
3554,Simon Kjaer,3,26,1989,6,3,Defender,,
3555,Ivan Klasnic,1,29,1980,6,1,Forward,,
3556,Kleberson,6,19,1979,5,8,Midfielder,,
3557,Wolfgang Kleff,11,16,1946,,,Goalkeeper,,
3558,Michael Klein,10,10,1959,,,Defender,,
3559,Marino Klinger,2,7,1936,,,Forward,,
3560,Juergen Klinsmann,7,30,1964,,,Forward,,
3561,Berni Klodt,10,26,1926,,,Forward,,
3562,Frank Klopas,9,1,1966,,,Forward,,
3563,Tomasz Klos,3,7,1973,6,1,Defender,,
3564,Miroslav Klose,6,9,1978,5,11,Forward,,
3565,Patrick Kluivert,7,1,1976,,,Forward,,
3566,Kazimierz Kmiecik,9,19,1951,,,Forward,,
3567,Wolfgang Knaller,10,9,1961,,,Goalkeeper,,
3568,Aleksander Knavs,12,5,1975,6,2,Defender,,
3569,Ivo Knoflicek,2,23,1962,,,Forward,,
3570,Adrian Knup,7,2,1968,,,Forward,,
3571,Jeong Woon Ko,6,27,1966,,,Midfielder,,
3572,Jong Soo Ko,10,30,1978,,,Midfielder,,
3573,Stanislaus Kobierski,11,15,1910,,,Forward,,
3574,Jan Kocian,3,13,1958,,,Defender,,
3575,Istvan Kocsis,10,6,1949,,,Defender,,
3576,Sandor Kocsis,9,21,1929,,,Forward,,
3577,Erwin Koeman,9,20,1961,,,Midfielder,,
3578,Ronald Koeman,3,21,1963,,,Defender,,
3579,Andreas Koepke,3,12,1962,,,Goalkeeper,,
3580,Alfred Koerner,2,14,1926,,,Forward,,
3581,Robert Koerner,8,21,1924,,,Forward,,
3582,Savvas Kofidis,3,21,1961,,,Midfielder,,
3583,Walter Kogler,12,12,1967,,,Defender,,
3584,Juergen Kohler,10,6,1965,,,Defender,,
3585,Werner Kohlmeyer,4,19,1924,,,Defender,,
3586,Vilmos Kohut,7,17,1906,,,Forward,,
3587,Nobuyuki Kojima,1,17,1966,,,Goalkeeper,,
3588,Koke,1,8,1992,5,10,Midfielder,,
3589,Alexander Kokorin,3,19,1991,6,0,Forward,,
3590,Aleksandar Kolarov,11,10,1985,6,1,Defender,,
3591,Sead Kolasinac,6,20,1993,6,0,Defender,,
3592,Bozhil Kolev,5,20,1949,,,Midfielder,,
3593,Hristo Kolev,9,21,1964,,,Midfielder,,
3594,Ivan Kolev,11,1,1930,,,Forward,,
3595,Todor Kolev,4,29,1942,,,Midfielder,,
3596,Thanasis Kolitsidakis,11,20,1966,,,Defender,,
3597,Jan Koller,3,30,1973,6,7,Forward,,
3598,Karl Koller,2,9,1929,,,Midfielder,,
3599,Walter Kollmann,6,17,1932,,,Defender,,
3600,Karel Kolsky,9,21,1914,,,Midfielder,,
3601,Andrej Komac,12,4,1979,5,6,Midfielder,,
3602,Yuichi Komano,7,25,1981,5,7,Defender,,
3603,Dmitriy Kombarov,1,22,1987,6,0,Midfielder,,
3604,Daniel Kome,5,19,1980,5,7,Midfielder,,
3605,Slobodan Komljenovic,1,2,1971,,,Defender,,
3606,Ryszard Komornicki,8,14,1959,,,Midfielder,,
3607,Vincent Kompany,4,10,1986,6,2,Defender,,
3608,Friedl Koncilia,2,25,1948,,,Goalkeeper,,
3609,Arouna Kone,11,11,1983,5,11,Forward,,
3610,Bakary Kone,9,17,1981,5,4,Forward,,
3611,Emmanuel Kone,12,31,1986,5,9,Midfielder,,
3612,Panagiotis Kone,7,26,1987,6,0,Midfielder,,
3613,Terence Kongolo,2,14,1994,6,0,Defender,,
3614,Yasuyuki Konno,1,25,1983,5,10,Defender,,
3615,Harald Konopka,11,18,1952,,,Defender,,
3616,Otto Konrad,11,1,1964,,,Goalkeeper,,
3617,Michael Konsel,3,6,1962,,,Goalkeeper,,
3618,Ja-Cheol Koo,2,27,1989,6,0,Midfielder,,
3619,Cle Kooiman,7,3,1963,,,Defender,,
3620,Raymond Kopa,10,13,1931,,,Forward,,
3621,Vlastimil Kopecky,10,14,1912,,,Midfielder,,
3622,Kamil Kopunek,5,18,1984,5,10,Midfielder,,
3623,Lajos Koranyi,5,15,1907,,,Defender,,
3624,Pierre Korb,4,20,1908,,,Forward,,
3625,Jozef Korbas,11,11,1914,,,Forward,,
3626,Mohammad Reza Korbekandi,1,27,1953,,,Goalkeeper,,
3627,Robert Koren,9,20,1980,5,8,Midfielder,,
3628,Bulent Korkmaz,11,24,1968,5,11,Defender,,
3629,Alexey Korneev,2,6,1939,,,Defender,,
3630,Igor Korneev,9,4,1967,,,Midfielder,,
3631,Ognjen Koroman,9,19,1978,5,10,Midfielder,,
3632,Vladimir Kos,8,9,1935,,,Forward,,
3633,Laurent Koscielny,9,10,1985,6,0,Defender,,
3634,Willi Koslowski,2,17,1937,,,Forward,,
3635,Jaroslav Kosnar,8,17,1930,,,Forward,,
3636,Kamil Kosowski,8,30,1977,6,1,Midfielder,,
3637,Emil Kostadinov,8,12,1967,,,Forward,,
3638,Kostadin Kostadinov,6,25,1959,,,Forward,,
3639,Josef Kostalek,8,31,1909,,,Midfielder,,
3640,Aleksandar Kostov,3,5,1938,,,Forward,Midfielder,
3641,Dimitar Kostov,7,27,1936,,,Defender,,
3642,Zdzislaw Kostrzewa,10,26,1955,,,Goalkeeper,,
3643,Antal Kotasz,9,9,1929,,,Midfielder,,
3644,Nikola Kotkov,12,9,1938,,,Forward,,
3645,Rudolf Kotormany,1,23,1911,,,Midfielder,,
3646,Sergei Kotrikadze,8,9,1936,,,Goalkeeper,,
3647,Blaise Kouassi,2,2,1975,5,11,Defender,,
3648,Pavel Kouba,9,1,1938,,,Goalkeeper,,
3649,Mustafa Kouici,4,16,1954,,,Defender,,
3650,George Koumantarakis,3,27,1974,6,3,Forward,,
3651,Noureddine Kourichi,4,12,1954,,,Defender,,
3652,Niko Kovac,10,15,1971,5,10,Midfielder,,
3653,Radoslav Kovac,11,27,1979,6,2,Midfielder,,
3654,Robert Kovac,4,6,1974,5,11,Defender,,
3655,Darko Kovacevic,11,18,1973,6,2,Forward,,
3656,Oliver Kovacevic,10,29,1974,6,1,Goalkeeper,,
3657,Vladimir Kovacevic,1,7,1940,,,Forward,,
3658,Nikola Kovachev,6,4,1934,,,Midfielder,,
3659,Mateo Kovacic,5,6,1994,6,1,Midfielder,,
3660,Imre Kovacs,11,16,1921,,,Midfielder,,
3661,Kalman Kovacs,9,11,1965,,,Forward,,
3662,Laszlo Kovacs,4,24,1951,,,Goalkeeper,,
3663,Nicolae Kovacs,12,29,1911,,,Forward,,
3664,Yuri Kovtun,1,5,1970,6,2,Defender,,
3665,Ignace Kowalczyk,12,27,1913,,,Forward,,
3666,Jan Kozak,4,22,1980,6,3,Midfielder,,
3667,Jan Kozak,4,17,1954,,,Midfielder,,
3668,Ernst Kozlicek,1,27,1931,,,Midfielder,,
3669,Paul Kozlicek,7,22,1937,,,Forward,,
3670,Aleksei Kozlov,11,16,1986,5,11,Defender,,
3671,Marek Kozminski,2,7,1971,5,10,Midfielder,,
3672,Ardian Kozniku,10,27,1967,,,Forward,,
3673,Werner Kraemer,1,23,1940,,,Forward,,
3674,Sergei Krakovski,8,11,1960,,,Goalkeeper,,
3675,Branko Kralj,3,10,1924,,,Goalkeeper,,
3676,Ivica Kralj,3,26,1973,,,Goalkeeper,,
3677,Christoph Kramer,2,19,1991,6,2,Midfielder,,
3678,Niko Kranjcar,8,13,1984,6,0,Midfielder,,
3679,Hans Krankl,2,14,1953,,,Forward,,
3680,Milos Krasic,11,1,1984,6,0,Midfielder,,
3681,Anton Krasnohorsky,10,22,1925,,,Defender,,
3682,Engelbert Kraus,7,30,1934,,,Forward,,
3683,Tadeas Kraus,10,22,1932,,,Forward,,
3684,Bernd Krauss,5,8,1957,,,Defender,,
3685,Rudolf Krcil,3,5,1906,,,Midfielder,,
3686,Hans-Juergen Kreische,7,19,1947,,,Midfielder,,
3687,Emil Kremenliev,8,13,1969,,,Defender,,
3688,Helmut Kremers,3,24,1949,,,Defender,,
3689,Willibald Kress,11,13,1906,,,Goalkeeper,,
3690,Arnost Kreuz,5,9,1912,,,Forward,,
3691,Wilhelm Kreuz,5,29,1949,,,Midfielder,,
3692,Rene Krhin,5,21,1990,6,0,Midfielder,,
3693,Eduard Krieger,12,16,1946,,,Midfielder,,
3694,Abdelkarim Krimau,1,13,1955,,,Forward,,
3695,Srboljub Krivokuca,3,14,1928,,,Goalkeeper,,
3696,Tomas Kriz,3,17,1959,,,Forward,,
3697,Konstantin Krizhevski,2,20,1926,,,Defender,,
3698,Zlatko Krmpotic,8,7,1958,,,Defender,,
3699,Mogens Krogh,10,31,1963,,,Goalkeeper,,
3700,Ruud Krol,3,24,1949,,,Defender,,
3701,Per Kroldrup,7,31,1979,6,4,Defender,,
3702,Jan Kromkamp,8,17,1980,6,0,Defender,,
3703,Knut Kroon,6,19,1906,,,Forward,,
3704,Toni Kroos,1,4,1990,5,10,Midfielder,,
3705,Petar Krpan,7,1,1974,,,Forward,,
3706,Mladen Krstajic,3,4,1974,6,3,Defender,,
3707,Dobrosav Krstic,2,5,1934,,,Midfielder,,
3708,Tim Krul,4,3,1988,6,2,Goalkeeper,,
3709,Paul Krumpe,3,4,1963,,,Defender,,
3710,Pawel Kryszalowicz,6,23,1974,6,0,Forward,,
3711,Jacek Krzynowek,5,15,1976,5,10,Midfielder,,
3712,Dariusz Kubicki,6,6,1963,,,Defender,,
3713,Lubos Kubik,1,20,1964,,,Midfielder,,
3714,Heinz Kubsch,7,20,1930,,,Goalkeeper,,
3715,Cezary Kucharski,2,17,1972,5,11,Forward,,
3716,Dusan Kuciak,5,21,1985,6,4,Goalkeeper,,
3717,Juraj Kucka,2,26,1987,6,1,Midfielder,,
3718,Lefter Kucukandonyadis,12,22,1925,,,Forward,,
3719,Dietmar Kuehbauer,4,4,1971,5,7,Midfielder,,
3720,Fritz Kuenzli,1,8,1946,,,Forward,,
3721,Samuel Kuffour,9,3,1976,5,10,Defender,,
3722,Bela Kuharszki,4,20,1940,,,Forward,,
3723,Koebi Kuhn,10,12,1943,,,Midfielder,,
3724,Zygmunt Kukla,1,21,1948,,,Goalkeeper,,
3725,Jozef Kukucka,3,13,1957,,,Defender,,
3726,Ladislav Kuna,4,3,1947,,,Midfielder,,
3727,Emmanuel Kunde,7,15,1956,,,Defender,,
3728,Stefan Kuntz,10,30,1962,,,Forward,,
3729,Janusz Kupcewicz,12,9,1955,,,Defender,,
3730,Andreas Kupfer,5,7,1914,,,Midfielder,,
3731,Juergen Kurbjuhn,7,26,1940,,,Defender,,
3732,Lothar Kurbjuweit,11,6,1950,,,Defender,,
3733,Marek Kusto,4,29,1954,,,Forward,,
3734,Tomasz Kuszczak,3,20,1982,6,3,Goalkeeper,,
3735,Dirk Kuyt,7,22,1980,6,0,Forward,,
3736,Zdravko Kuzmanovic,9,22,1987,6,1,Midfielder,,
3737,Boris Kuznetsov,7,14,1928,,,Defender,,
3738,Dmitri Kuznetsov,8,28,1965,,,Defender,,
3739,Oleg Kuznetsov,3,22,1963,,,Defender,,
3740,Reidar Kvammen,7,23,1914,,,Forward,,
3741,Andrej Kvasnak,5,19,1936,,,Midfielder,,
3742,William Kvist,2,24,1985,6,0,Midfielder,,
3743,Tae-Hwi Kwak,7,8,1981,6,2,Defender,,
3744,Adam Kwarasey,12,12,1987,6,2,Goalkeeper,,
3745,Heinz Kwiatkowski,7,16,1926,,,Goalkeeper,,
3746,Sotirios Kyrgiakos,7,23,1979,6,3,Defender,,
3747,Guillermo La Rosa,6,6,1952,,,Forward,,
3748,Ricardo La Volpe,2,6,1952,,,Goalkeeper,,
3749,Fritz Laband,11,1,1925,,,Defender,,
3750,Ernesto Labarthe,6,2,1956,,,Midfielder,,
3751,Khemais Labidi,8,30,1950,,,Midfielder,,
3752,Mohsen Labidi,1,15,1954,,,Defender,,
3753,Brian Labone,1,23,1940,,,Defender,,
3754,Angel Labruna,9,28,1918,,,Forward,,
3755,Marius Lacatus,4,5,1964,,,Forward,,
3756,Medhi Lacen,3,15,1984,5,10,Midfielder,,
3757,Laszlo Lachos,4,24,2016,,,Forward,,
3758,Bernard Lacombe,8,15,1952,,,Forward,,
3759,Drazen Ladic,1,1,1963,,,Goalkeeper,,
3760,Maurice Lafont,9,13,1927,,,Midfielder,,
3761,Lafuente,12,31,1907,,,Forward,,
3762,Abdelslam Laghrissi,1,5,1962,,,Forward,,
3763,Philipp Lahm,11,11,1983,5,6,Defender,,
3764,Abdelkader Laifaoui,7,29,1981,5,9,Defender,,
3765,Eduardo Laing,12,27,1958,,,Forward,,
3766,Temime Lakhzami,1,1,1949,,,Forward,,
3767,Jan Lala,9,10,1936,,,Defender,,
3768,Alexi Lalas,6,1,1970,,,Defender,,
3769,Adam Lallana,5,10,1988,5,7,Midfielder,,
3770,Lama,2,1,1981,6,1,Goalkeeper,,
3771,Bernard Lama,4,7,1963,6,0,Goalkeeper,,
3772,Jose Lamadrid,7,3,1930,,,Forward,,
3773,Paul Lambert,8,7,1969,,,Midfielder,,
3774,Raoul Lambert,10,20,1944,,,Forward,,
3775,Rickie Lambert,2,16,1982,6,1,Forward,,
3776,Robert Lamoot,3,18,1911,,,Forward,,
3777,Frank Lampard,6,20,1978,6,0,Midfielder,,
3778,Abdallah Lamrani,1,1,1946,,,Defender,,
3779,Abdelmajid Lamriss,2,12,1959,,,Defender,,
3780,Honorino Landa,6,1,1942,,,Forward,,
3781,Spartaco Landini,1,31,1944,,,Defender,,
3782,Mickael Landreau,5,14,1979,6,0,Goalkeeper,,
3783,Denny Landzaat,5,6,1976,5,10,Midfielder,,
3784,Michael Lang,2,8,1991,6,0,Defender,,
3785,Isidro Langara,5,15,1912,,,Forward,,
3786,Wim Langendaal,4,13,1909,,,Forward,,
3787,Mitchell Langerak,8,22,1988,6,3,Goalkeeper,,
3788,Marcel Langiller,6,2,1908,,,Forward,,
3789,Ronald Langon,8,6,1939,,,Forward,,
3790,Mihaly Lantos,9,29,1928,,,Defender,,
3791,Damian Lanza,4,10,1982,6,1,Goalkeeper,,
3792,Carlos Lapetra,11,29,1938,,,Forward,,
3793,Michael Lapper,8,28,1970,,,Defender,,
3794,Ion Lapusneanu,12,8,1908,,,Goalkeeper,,
3795,Alfonso Lara,4,27,1946,,,Midfielder,,
3796,Christian Lara,4,27,1980,5,3,Midfielder,,
3797,Diogenes Lara,4,6,1903,,,Midfielder,,
3798,Raul Lara,2,28,1973,,,Midfielder,,
3799,Salah Larbes,9,16,1952,,,Defender,,
3800,Dimitar Largov,9,10,1936,,,Defender,,
3801,Nikolai Larionov,2,19,1957,,,Defender,,
3802,Jean-Francois Larios,8,27,1956,,,Midfielder,,
3803,Pablo Larios,7,31,1960,,,Goalkeeper,,
3804,Omar Larrosa,11,18,1947,,,Midfielder,,
3805,Soren Larsen,9,6,1981,6,4,Forward,,
3806,Bo Larsson,5,5,1944,,,Midfielder,,
3807,Henrik Larsson,9,20,1971,5,9,Forward,,
3808,Lennart Larsson,7,9,1953,,,Midfielder,,
3809,Peter Larsson,3,8,1961,,,Defender,,
3810,Sven-Gunnar Larsson,5,10,1940,,,Goalkeeper,,
3811,Russell Latapy,8,2,1968,6,0,Forward,,
3812,Mohamed Latif,10,23,1909,,,Midfielder,,
3813,Ali Latifi,2,20,1976,,,Forward,,
3814,Grzegorz Lato,4,8,1950,,,Forward,,
3815,Reinhard Lauck,9,16,1946,,,Midfielder,,
3816,Brian Laudrup,2,22,1969,,,Forward,,
3817,Michael Laudrup,6,15,1964,,,Midfielder,,
3818,Lauren,1,19,1977,5,10,Defender,Midfielder,
3819,Jean Laurent,12,30,1906,,,Midfielder,,
3820,Lucien Laurent,12,10,1907,,,Forward,,
3821,Jacob Laursen,10,6,1971,,,Defender,,
3822,Martin Laursen,7,26,1977,6,2,Defender,,
3823,Jose Maria Lavalle,6,5,1911,,,Forward,,
3824,Ezequiel Lavezzi,5,3,1985,5,8,Forward,,
3825,Denis Law,2,24,1940,,,Forward,,
3826,Garba Lawal,5,22,1974,6,0,Midfielder,,
3827,Aaron Lawrence,8,11,1970,,,Goalkeeper,,
3828,Dennis Lawrence,8,1,1974,6,7,Defender,,
3829,Miguel Layún,6,25,1988,5,9,Defender,,
3830,Gyula Lazar,1,24,1911,,,Midfielder,,
3831,Stan Lazaridis,8,16,1972,5,8,Midfielder,,
3832,Danko Lazovic,5,17,1983,6,0,Forward,,
3833,Yvon Le Roux,4,19,1960,,,Defender,,
3834,Graeme Le Saux,10,17,1968,,,Defender,,
3835,Eugenio Leal,5,13,1953,,,Midfielder,,
3836,Fritz Leandre,3,13,1948,,,Forward,,
3837,Joseph-Marion Leandre,5,9,1945,,,Defender,,
3838,Leandro,3,17,1959,,,Defender,,
3839,Leao,7,11,1949,,,Goalkeeper,,
3840,Michel Leblond,5,10,1932,,,Midfielder,,
3841,Lebo Lebo,5,29,1977,6,1,Defender,,
3842,Frank Leboeuf,1,22,1968,6,0,Defender,,
3843,Mathew Leckie,2,4,1991,5,10,Forward,,
3844,Simon Lecue,2,11,1912,,,Midfielder,,
3845,Francois Ledent,11,8,1907,,,Forward,,
3846,Igor Lediakhov,5,22,1968,,,Midfielder,,
3847,Bum-Young Lee,4,2,1989,6,6,Goalkeeper,,
3848,Chang Myung Lee,1,2,1947,,,Goalkeeper,,
3849,Chun Soo Lee,7,9,1981,5,8,Forward,,
3850,Chung Yong Lee,7,2,1988,5,10,Midfielder,,
3851,Dong Gook Lee,4,29,1979,6,0,Forward,,
3852,Eul Yong Lee,9,8,1975,5,9,Midfielder,,
3853,Francis Lee,4,29,1944,,,Forward,,
3854,Heung Sil Lee,7,10,1961,,,Midfielder,,
3855,Ho Lee,10,22,1984,5,11,Midfielder,,
3856,Jong Uwa Lee,7,20,1963,,,Defender,,
3857,Jung Soo Lee,1,8,1980,6,0,Defender,,
3858,Keun Hak Lee,7,7,1940,,,Goalkeeper,,
3859,Keun-Ho Lee,4,11,1985,5,9,Forward,,
3860,Lim Saeng Lee,11,18,1971,5,11,Defender,,
3861,Min Sung Lee,6,23,1973,6,0,Defender,,
3862,Robert Lee,2,1,1966,,,Midfielder,,
3863,Sang Hun Lee,10,11,1975,6,0,Defender,,
3864,Sang Yi Lee,1,1,1922,,,Midfielder,,
3865,Sang Yoon Lee,4,10,1969,5,10,Midfielder,,
3866,Seung Yeoul Lee,3,6,1989,6,0,Forward,,
3867,Tae Ho Lee,1,29,1961,,,Forward,,
3868,Woon Jae Lee,4,26,1973,5,11,Goalkeeper,,
3869,Yong Lee,12,24,1986,5,10,Defender,,
3870,Young Jin Lee,10,27,1963,,,Midfielder,,
3871,Young Pyo Lee,4,23,1977,5,9,Defender,Midfielder,
3872,Ken Leek,7,26,1935,,,Forward,,
3873,Graham Leggatt,6,20,1934,,,Forward,,
3874,German Leguia,1,2,1954,,,Forward,,
3875,Victoriano Leguizamon,1,1,1923,,,Midfielder,,
3876,August Lehmann,1,26,1909,,,Defender,,
3877,Bill Lehmann,12,20,1901,,,Midfielder,,
3878,Jens Lehmann,11,10,1969,6,2,Goalkeeper,,
3879,Stephan Lehmann,8,15,1963,,,Goalkeeper,,
3880,Ernest Lehner,11,7,1912,,,Forward,,
3881,Jim Leighton,7,24,1958,,,Goalkeeper,,
3882,Werner Leimgruber,9,2,1934,,,Defender,,
3883,Leivinha,9,11,1949,,,Forward,,
3884,Jacob Lekgetho,3,24,1974,5,7,Defender,,
3885,Ivan Leko,2,7,1978,5,10,Midfielder,,
3886,Jerko Leko,4,9,1980,6,1,Midfielder,,
3887,Dragoje Lekovic,11,21,1967,,,Goalkeeper,,
3888,Alejandro Lembo,2,15,1978,5,10,Defender,,
3889,Bob Lenarduzzi,5,1,1955,,,Defender,,
3890,Aaron Lennon,4,16,1987,5,4,Midfielder,,
3891,Jeremain Lens,11,24,1987,5,10,Forward,,
3892,Pedro Leon,3,26,1943,,,Forward,,
3893,Leonardo,9,5,1969,,,Midfielder,,
3894,Gianfranco Leoncini,9,25,1939,,,Midfielder,,
3895,Oyvind Leonhardsen,8,17,1970,,,Midfielder,,
3896,Johnny Leoni,6,30,1984,6,2,Goalkeeper,,
3897,Leonidas,9,6,1913,,,Forward,,
3898,Roberto Leopardi,7,19,1933,,,Midfielder,,
3899,Mario Lepe,4,14,1940,,,Defender,,
3900,Soren Lerby,2,1,1958,,,Midfielder,,
3901,Andre Lerond,12,6,1930,,,Defender,,
3902,Lesmes Ii,11,9,1926,,,Defender,,
3903,Iordan Letchkov,7,9,1967,,,Midfielder,,
3904,Juan Letelier,5,20,1959,,,Forward,,
3905,Reneilwe Letsholonyane,6,9,1982,5,8,Midfielder,,
3906,Tino Lettieri,9,27,1957,,,Goalkeeper,,
3907,Craig Levein,10,22,1964,,,Defender,,
3908,Mariusz Lewandowski,5,18,1979,6,0,Defender,,
3909,Eddie Lewis,5,17,1974,5,10,Defender,Midfielder,
