pid,cup_year,cid,jersey,played,started,captain,goals,goal_avg,yellow,red
67,2010,36,19,3,1,0,0,0.0,1,0
68,2006,70,4,3,3,0,0,0.0,1,0
69,1962,5,18,1,1,0,1,1.0,0,0
69,1966,5,21,1,1,0,0,0.0,0,0
70,2010,32,22,0,0,0,0,0.0,0,0
71,1950,1,,6,6,0,8,1.33,0,0
72,1974,1,18,1,1,0,0,0.0,0,0
73,1994,32,21,4,0,0,0,0.0,1,0
73,1998,32,8,3,3,0,1,0.33,1,0
73,2002,32,8,0,0,0,0,0.0,0,0
74,2010,36,18,2,0,0,0,0.0,0,0
75,2006,36,1,0,0,0,0,0.0,0,0
76,1970,1,12,0,0,0,0,0.0,0,0
77,2014,36,14,1,0,0,0,0.0,0,0
78,2006,1,7,4,3,0,2,0.5,1,0
79,1938,21,,0,0,0,0,0.0,0,0
80,1938,21,,2,2,0,0,0.0,0,0
81,2010,8,20,3,0,0,0,0.0,0,0
82,2014,36,23,2,2,0,0,0.0,1,0
83,2002,32,13,0,0,0,0,0.0,0,0
83,2010,32,5,2,1,0,0,0.0,0,0
84,1966,11,5,1,1,0,0,0.0,0,0
84,1970,11,3,3,3,0,0,0.0,0,0
85,1938,1,,4,4,0,0,0.0,0,0
86,2006,70,16,3,3,0,0,0.0,0,0
87,2014,32,21,0,0,0,0,0.0,0,0
88,1994,31,15,3,3,0,0,0.0,0,0
89,2006,70,8,1,1,0,0,0.0,0,0
90,1994,32,22,0,0,0,0,0.0,0,0
91,2010,25,4,3,3,0,0,0.0,0,0
92,2002,32,17,3,3,0,1,0.33,0,0
93,1998,23,12,0,0,0,0,0.0,0,0
93,2002,23,12,3,3,0,0,0.0,1,0
94,1994,32,16,0,0,0,0,0.0,0,0
95,1958,22,7,3,3,3,2,0.67,0,0
96,2010,4,16,3,1,0,0,0.0,0,0
96,2014,4,20,5,3,0,0,0.0,1,0
97,2014,28,8,3,3,0,0,0.0,0,0
98,2010,13,12,1,1,0,0,0.0,0,0
98,2014,13,22,4,4,0,0,0.0,2,0
99,1958,22,12,2,2,0,0,0.0,0,0
100,1998,5,15,2,2,0,0,0.0,1,0
101,1986,9,20,0,0,0,0,0.0,0,0
101,1990,9,18,4,1,0,0,0.0,0,0
102,1998,22,6,0,0,0,0,0.0,0,0
103,1930,20,,1,1,0,0,0.0,0,0
104,1958,22,10,0,0,0,0,0.0,0,0
105,2002,40,10,3,1,1,0,0.0,0,0
106,1930,22,,1,1,0,0,0.0,0,0
107,1986,13,13,5,5,0,0,0.0,1,1
108,2010,36,1,0,0,0,0,0.0,0,0
109,2014,36,8,2,1,0,0,0.0,0,0
